"","ZEIT","182","183","184","185","281","282","283","284","285","286","287","288","289","290","291","292","352","353","354","355","368","369","370","371","388","389","390","391","392","393","394","395","396","397","417","418","420","421","422","423","491","492","493","494","495","496","497","498","499","500","501","502","503","504","505","506","507","508","509","510","511","512","513","514","769","770","909","910","911","912","913","914","915","916","921","922","923","924","925","926","1076","1077","1078","1079","1080","1081","1082","1083","1084","1085","1086","1087","1088","1089","1090","1091","1092","1093","1094","1117","1118","1119","1128","1129","1130","1131","1132","1133","1134","1135","1136","1137","1138","1139","1140","1141","1142","1143","1144","1178","1179","1180","1181","1182","1183","1184","1185"
"5357","2015-07-04 17:16:00",0,1,2,1,3,0,8,0,10,7,4,3,5,4,16,13,12,4,11,8,6,10,0,0,10,8,4,10,7,2,5,7,6,1,11,7,8,5,4,2,8,5,4,5,4,1,11,3,2,3,1,1,6,6,6,9,1,3,6,1,4,4,7,4,1,0,5,0,4,1,2,2,5,1,19,2,5,16,10,12,9,1,5,4,0,0,2,2,0,2,0,8,1,4,0,5,22,1,9,5,1,12,3,2,7,10,7,9,2,4,2,2,8,12,3,5,5,5,3,4,3,1,0,3,1,4,1
"5358","2015-07-04 17:17:00",4,6,0,2,6,9,3,0,7,9,8,9,19,14,4,8,7,4,2,1,17,0,15,0,2,4,10,2,13,4,4,2,1,1,11,7,0,1,0,1,5,0,9,13,7,6,16,14,1,0,4,2,3,4,3,5,3,3,13,2,8,6,4,9,6,3,7,5,4,3,7,2,3,1,2,0,2,3,5,9,2,5,3,0,3,4,3,3,0,8,0,7,0,10,5,15,18,7,6,5,0,4,1,2,2,7,1,11,5,1,0,4,7,7,13,7,3,11,7,6,3,2,5,9,8,5,3
"5359","2015-07-04 17:18:00",9,7,4,11,5,3,10,0,1,4,3,3,8,7,4,5,9,4,14,15,7,11,0,0,5,8,19,3,3,6,5,2,10,4,9,10,9,5,10,6,4,5,1,1,9,8,8,6,10,8,5,4,2,6,3,6,1,7,7,2,12,12,6,10,11,7,5,1,5,1,5,1,11,1,14,2,3,4,5,8,2,3,8,3,6,4,5,2,2,5,1,1,0,6,3,14,10,6,5,5,0,3,3,9,6,9,2,7,1,5,0,2,3,5,8,9,4,5,4,4,6,4,4,8,4,2,2
"5360","2015-07-04 17:19:00",3,2,4,2,3,1,3,0,12,14,3,3,17,17,5,10,10,10,3,5,15,1,17,0,7,6,10,3,10,4,6,2,7,7,12,1,0,0,0,1,6,7,15,13,11,8,6,2,5,4,7,2,6,5,6,7,4,7,11,0,4,3,9,3,0,0,7,2,13,4,1,0,2,0,0,0,5,13,2,7,5,7,3,2,3,0,3,5,0,8,3,5,2,10,7,8,4,5,5,1,0,10,8,5,2,6,3,9,3,6,6,4,6,5,8,4,7,7,5,4,2,4,0,9,5,2,0
"5361","2015-07-04 17:20:00",1,4,3,1,8,10,7,0,2,6,6,10,5,12,12,12,4,2,11,17,4,7,0,0,1,2,2,0,7,4,3,3,3,0,3,9,7,2,6,1,6,3,7,14,6,1,8,6,6,5,7,3,1,2,1,6,4,4,0,0,12,6,5,7,13,5,0,1,3,1,5,4,10,2,19,2,3,8,4,0,2,4,2,2,4,1,1,6,1,4,2,6,0,1,1,11,10,4,8,4,0,9,4,6,5,6,2,11,4,7,4,4,8,10,13,5,7,2,1,3,8,2,1,2,2,1,3
"5362","2015-07-04 17:21:00",0,1,6,6,9,0,5,0,13,10,3,2,13,19,5,10,12,9,15,11,14,0,15,0,12,10,13,10,7,3,4,2,6,4,11,12,4,0,1,1,7,7,3,0,3,1,7,4,9,9,1,1,4,7,2,3,3,6,8,2,4,5,2,4,2,1,9,3,4,7,1,1,5,1,2,0,1,10,7,6,2,6,4,1,2,0,0,1,0,9,10,6,1,12,3,18,7,2,4,5,1,6,0,8,1,11,7,5,3,2,0,3,2,5,7,5,1,14,8,2,6,8,4,7,2,5,1
"5363","2015-07-04 17:22:00",4,3,5,1,2,1,4,0,10,8,6,11,9,7,5,4,5,5,4,2,6,6,0,0,2,2,8,1,6,6,4,4,2,1,3,13,4,2,10,5,9,7,7,8,9,8,8,4,4,1,8,0,2,3,4,7,1,8,8,1,13,3,7,8,12,2,6,4,2,0,5,6,6,5,17,0,1,4,6,11,3,0,6,1,7,3,7,2,1,6,0,11,2,3,1,9,25,2,4,10,0,7,4,7,5,4,1,5,1,7,4,4,5,6,9,7,6,0,0,8,8,4,2,3,1,3,1
"5364","2015-07-04 17:23:00",4,7,6,4,5,4,10,0,4,1,5,5,15,17,8,6,10,5,15,13,19,0,14,1,10,11,15,5,6,4,4,1,2,1,4,10,7,3,2,0,6,7,4,7,9,5,9,5,6,9,2,2,2,3,3,4,2,2,10,3,7,8,4,7,8,2,5,0,11,6,7,4,6,0,4,1,4,9,3,17,3,2,5,4,2,2,0,2,1,5,3,4,3,6,2,1,19,6,5,6,1,10,2,4,3,7,1,11,4,3,2,3,10,5,20,8,7,1,2,5,5,4,1,5,2,4,0
"5365","2015-07-04 17:24:00",1,0,2,3,3,3,6,0,11,6,13,12,10,9,13,14,12,3,7,6,5,4,0,0,9,9,14,2,8,2,3,2,9,5,5,11,0,1,3,3,12,8,2,3,4,3,9,2,6,6,1,0,3,7,4,5,1,5,4,1,2,0,5,10,4,1,14,6,7,7,3,1,3,3,21,4,6,11,5,12,4,1,4,0,4,0,3,3,1,7,2,5,3,5,0,18,12,2,8,6,0,9,8,6,5,9,3,5,1,3,3,1,1,11,2,1,1,11,7,1,4,4,3,7,3,4,0
"5366","2015-07-04 17:25:00",4,0,0,1,7,4,2,0,3,4,9,12,15,16,9,14,2,3,13,10,14,0,13,0,4,2,8,0,8,5,10,4,6,0,11,6,7,3,3,0,2,4,13,12,10,13,9,12,2,1,11,8,0,5,2,2,7,10,12,2,18,24,3,3,11,5,1,1,2,0,6,8,7,2,5,0,1,3,9,12,3,4,4,0,9,6,5,5,2,6,1,5,1,12,2,4,21,6,1,6,1,4,2,2,1,7,1,6,2,5,3,2,2,5,9,6,3,1,1,3,5,3,1,1,0,3,1
